Exe,Cycle
69.751000,36.510000
3.598000,75.658000
3.729000,62.508000
3.212000,38.663000
4.199000,70.946000
6.121000,61.291000
3.325000,48.188000
3.313000,71.054000
4.290000,62.031000
3.254000,47.870000
3.318000,68.566000
4.581000,67.860000
3.283000,41.112000
3.429000,70.772000
3.387000,72.039000
3.342000,33.041000
3.535000,71.333000
3.302000,63.280000
3.271000,45.685000
3.319000,68.540000
3.339000,61.941000
3.177000,46.528000
3.455000,62.047000
4.175000,69.673000
3.303000,45.174000
2.735000,57.139000
3.341000,68.401000
2.673000,36.921000
2.923000,66.219000
3.086000,75.482000
5.523000,49.843000
3.477000,56.377000
3.299000,61.104000
3.208000,37.853000
3.170000,69.336000
4.638000,78.442000
3.281000,43.448000
3.294000,60.326000
5.089000,55.931000
4.174000,48.855000
3.328000,68.442000
4.942000,63.089000
2.981000,46.699000
3.480000,71.114000
3.929000,60.306000
3.151000,47.236000
3.456000,61.812000
3.559000,71.815000
3.294000,43.466000
2.847000,64.221000
3.102000,67.676000
2.724000,78.110000
2.761000,44.595000
4.117000,54.336000
3.646000,34.771000
3.329000,73.215000
5.100000,56.782000
7.364000,52.081000
3.393000,67.786000
4.478000,59.395000
3.301000,47.730000
3.281000,71.423000
4.097000,61.405000
3.267000,46.886000
3.455000,69.969000
4.881000,63.799000
3.504000,44.979000
3.311000,71.395000
3.510000,59.762000
3.245000,46.537000
3.012000,61.539000
4.475000,71.121000
3.268000,46.470000
3.118000,65.904000
3.261000,67.348000
3.537000,44.742000
3.397000,62.866000
3.336000,81.022000
2.775000,26.968000
3.780000,72.362000
2.976000,69.238000
3.232000,35.032000
3.135000,71.766000
3.817000,73.602000
3.003000,34.358000
3.309000,72.810000
5.310000,58.698000
3.390000,49.902000
3.334000,70.273000
3.721000,64.259000
3.308000,45.309000
3.308000,71.573000
4.676000,59.040000
3.159000,47.524000
3.117000,69.673000
4.905000,62.507000
3.708000,45.198000
5.022000,83.537000
4.633000,48.693000
3.579000,46.591000
3.547000,68.619000
4.097000,63.058000
3.204000,45.437000
3.285000,61.231000
3.109000,70.473000
3.182000,45.659000
3.760000,62.460000
4.026000,72.333000
3.108000,44.003000
3.088000,65.404000
3.174000,68.697000
2.956000,34.330000
3.002000,70.372000
3.043000,77.729000
2.685000,31.674000
3.225000,70.054000
4.154000,58.399000
3.388000,47.343000
3.191000,71.552000
4.839000,61.201000
3.945000,45.239000
4.625000,83.111000
4.575000,47.469000
3.147000,47.675000
3.202000,70.299000
4.165000,62.684000
3.200000,46.000000
3.217000,70.680000
4.307000,60.507000
3.177000,52.094000
3.665000,56.650000
4.096000,80.104000
3.252000,38.952000
3.177000,63.401000
3.317000,67.877000
3.932000,37.240000
3.332000,70.868000
3.310000,74.792000
2.996000,32.875000
4.013000,71.611000
3.646000,59.993000
3.077000,48.334000
3.017000,69.487000
3.927000,70.544000
3.648000,37.235000
3.259000,77.227000
5.200000,51.628000
3.533000,49.043000
3.211000,69.499000
4.800000,60.952000
3.128000,45.922000
3.312000,70.703000
4.923000,60.041000
3.133000,47.404000
3.369000,70.778000
4.023000,70.047000
3.165000,40.181000
3.386000,63.343000
3.197000,71.877000
3.244000,42.782000
4.102000,61.119000
3.201000,74.102000
2.520000,32.361000
3.570000,74.576000
3.844000,60.376000
2.949000,46.554000
5.209000,72.137000
4.760000,59.534000
3.147000,45.925000
2.914000,72.717000
3.753000,59.569000
3.110000,47.260000
2.863000,69.250000
4.696000,72.670000
2.994000,37.159000
2.986000,70.858000
4.358000,59.581000
3.090000,51.297000
3.278000,66.473000
3.251000,63.544000
3.524000,45.307000
3.252000,70.347000
3.047000,65.009000
3.251000,42.445000
3.525000,63.406000
4.066000,74.854000
3.122000,41.688000
3.168000,63.318000
3.306000,70.134000
2.609000,61.395000
6.968000,96.569000
4.876000,115.412000
5.135000,59.413000
5.076000,59.963000
3.687000,62.700000
2.744000,42.315000
4.814000,61.674000
5.263000,70.836000
3.202000,47.136000
4.366000,59.393000
5.125000,71.143000
3.528000,45.961000
4.649000,61.128000
5.138000,71.573000
3.239000,45.335000
3.986000,60.553000
4.623000,71.743000
3.938000,46.116000
4.741000,60.636000
5.106000,69.046000
3.796000,48.840000
4.131000,98.640000
5.204000,51.395000
5.297000,35.415000
3.088000,47.988000
3.328000,71.530000
2.480000,45.950000
3.485000,60.812000
3.896000,68.947000
3.699000,46.321000
3.629000,61.382000
3.601000,72.700000
3.550000,44.921000
3.720000,62.187000
3.906000,69.750000
3.915000,46.877000
3.610000,60.356000
3.807000,71.484000
4.451000,46.587000
4.013000,60.551000
3.504000,60.003000
4.417000,58.032000
3.835000,59.992000
3.080000,60.732000
4.969000,57.655000
4.048000,61.968000
3.915000,58.790000
2.571000,45.757000
2.826000,60.721000
3.726000,73.266000
2.915000,44.163000
3.287000,60.805000
3.714000,71.508000
3.004000,45.266000
3.552000,61.556000
3.701000,71.533000
2.810000,45.832000
3.632000,61.288000
3.988000,72.159000
3.384000,45.006000
3.281000,61.794000
3.713000,72.239000
3.212000,47.440000
4.067000,58.932000
3.852000,70.907000
3.416000,48.918000
4.178000,61.308000
4.895000,84.408000
4.399000,33.328000
3.808000,65.454000
2.864000,62.846000
3.868000,51.188000
3.974000,58.152000
4.450000,60.362000
4.975000,58.120000
3.949000,59.143000
3.376000,62.099000
2.715000,45.837000
3.189000,62.924000
3.739000,70.331000
2.823000,48.273000
3.267000,59.182000
3.556000,69.299000
2.662000,46.192000
3.307000,60.937000
3.749000,71.343000
3.094000,46.398000
3.691000,60.928000
3.756000,70.315000
3.749000,45.227000
2.977000,59.689000
3.366000,69.162000
3.558000,46.725000
3.542000,60.564000
3.915000,70.117000
3.731000,47.337000
4.072000,60.307000
3.006000,72.085000
4.452000,45.812000
4.078000,60.534000
3.722000,73.380000
4.577000,48.388000
4.711000,57.962000
3.227000,59.948000
4.657000,56.241000
3.881000,59.517000
3.596000,62.528000
2.988000,46.330000
4.219000,62.144000
3.505000,72.197000
2.694000,43.913000
3.862000,96.050000
5.597000,58.126000
2.933000,22.759000
3.763000,61.428000
3.559000,79.075000
3.282000,37.399000
4.077000,60.234000
4.157000,72.562000
3.783000,45.613000
3.835000,61.465000
4.694000,79.666000
3.788000,38.206000
7.705000,63.920000
3.653000,65.413000
4.006000,48.103000
6.405000,62.124000
3.637000,69.860000
4.033000,46.189000
3.522000,58.770000
4.262000,60.546000
3.672000,58.078000
2.888000,53.048000
3.684000,68.870000
3.692000,45.037000
2.889000,61.490000
3.425000,70.075000
2.959000,45.158000
3.286000,62.356000
2.952000,114.733000
4.019000,59.956000
3.140000,69.982000
2.978000,46.769000
3.478000,60.437000
3.889000,85.912000
2.782000,37.253000
4.212000,56.089000
3.796000,69.844000
3.252000,46.673000
4.100000,60.099000
3.581000,70.976000
3.126000,45.444000
3.662000,61.063000
3.131000,71.444000
3.717000,44.398000
3.828000,60.651000
4.537000,82.801000
4.062000,33.698000
3.517000,59.407000
3.622000,64.516000
2.460000,44.891000
2.522000,60.831000
4.209000,73.660000
2.812000,43.687000
3.806000,61.134000
4.208000,69.861000
2.817000,44.681000
4.138000,61.841000
5.726000,73.433000
3.606000,42.295000
4.227000,58.691000
3.589000,73.239000
3.171000,41.615000
3.167000,64.091000
3.259000,65.536000
3.798000,45.120000
3.382000,59.923000
5.252000,79.460000
4.325000,38.274000
4.055000,60.584000
5.035000,81.791000
3.989000,37.720000
3.604000,53.930000
4.897000,64.495000
3.356000,53.563000
2.408000,48.506000
3.747000,72.273000
3.086000,42.942000
5.179000,116.807000
2.937000,58.819000
3.241000,61.454000
3.669000,79.449000
2.972000,36.627000
3.681000,61.746000
3.536000,73.160000
3.368000,43.012000
4.954000,63.829000
4.344000,78.093000
3.475000,36.206000
3.763000,60.784000
3.823000,71.013000
4.034000,46.595000
4.912000,104.561000
5.187000,37.472000
3.602000,85.417000
3.376000,72.438000
4.036000,46.078000
5.341000,60.975000
5.907000,71.615000
4.424000,48.249000
5.118000,57.095000
5.731000,71.284000
4.273000,46.225000
5.189000,60.791000
3.538000,70.830000
4.045000,50.613000
5.637000,82.651000
3.146000,51.873000
4.545000,56.761000
2.995000,47.161000
3.951000,82.937000
3.905000,49.431000
3.473000,48.880000
3.045000,69.559000
3.703000,70.138000
2.953000,36.930000
3.205000,77.349000
2.687000,52.937000
3.476000,48.007000
4.140000,56.847000
3.743000,69.700000
3.194000,45.025000
4.064000,65.602000
3.520000,71.472000
2.980000,27.598000
2.868000,72.684000
2.913000,64.595000
6.524000,79.348000
5.681000,54.519000
3.762000,48.563000
3.292000,75.747000
4.150000,50.176000
3.414000,56.638000
3.356000,24.585000
4.026000,88.669000
4.901000,35.984000
3.237000,45.365000
2.993000,66.974000
5.470000,65.236000
3.911000,39.903000
2.594000,76.867000
3.042000,51.019000
3.081000,44.572000
2.935000,67.963000
3.793000,58.175000
2.881000,44.619000
2.910000,75.394000
3.823000,56.846000
2.994000,46.206000
2.797000,61.923000
3.725000,77.489000
3.029000,40.453000
2.820000,63.760000
2.973000,76.775000
2.787000,28.871000
2.931000,73.231000
3.327000,74.002000
2.836000,29.909000
2.921000,76.565000
5.425000,54.444000
4.978000,100.838000
6.066000,41.409000
4.775000,62.594000
2.865000,21.545000
3.691000,82.998000
5.477000,50.207000
3.039000,46.859000
3.027000,69.398000
4.951000,67.074000
3.097000,42.090000
4.644000,87.280000
3.457000,46.888000
3.449000,45.360000
5.225000,103.012000
5.713000,48.086000
2.946000,25.181000
2.850000,75.373000
3.911000,54.776000
2.981000,45.077000
3.326000,60.158000
3.982000,76.798000
3.286000,38.516000
2.883000,64.418000
3.491000,72.449000
4.223000,28.835000
4.277000,68.131000
2.997000,75.604000
3.836000,38.102000
2.877000,65.854000
3.581000,54.770000
2.932000,50.812000
3.582000,66.842000
4.806000,67.265000
3.410000,38.263000
2.638000,78.502000
4.265000,50.536000
2.780000,47.813000
2.782000,68.325000
3.621000,68.715000
3.537000,36.859000
2.968000,76.566000
3.383000,63.173000
2.823000,39.283000
3.210000,59.872000
3.428000,70.749000
2.954000,44.272000
3.286000,61.821000
3.888000,77.366000
3.163000,39.925000
3.662000,63.423000
2.921000,69.399000
4.278000,35.967000
3.678000,71.501000
3.215000,61.194000
2.862000,45.362000
2.857000,70.230000
3.857000,81.542000
2.936000,33.624000
3.454000,76.585000
6.256000,47.550000
2.613000,49.484000
3.225000,67.560000
4.144000,60.569000
2.904000,46.600000
3.023000,76.727000
3.891000,62.194000
2.898000,37.561000
4.509000,79.789000
3.772000,67.554000
3.185000,32.165000
4.146000,66.804000
2.971000,72.837000
3.073000,38.846000
3.882000,60.251000
3.224000,71.380000
3.495000,32.429000
3.325000,72.710000
2.777000,56.603000
3.075000,43.929000
3.084000,68.923000
4.733000,71.709000
3.626000,34.762000
2.969000,81.832000
3.791000,48.715000
2.976000,46.581000
2.888000,71.020000
4.764000,66.360000
2.988000,40.482000
3.185000,70.349000
3.931000,69.270000
3.037000,38.029000
3.513000,77.267000
6.681000,67.173000
3.456000,39.720000
5.982000,58.370000
3.671000,56.534000
3.828000,57.224000
3.330000,59.118000
3.357000,64.148000
3.704000,42.504000
3.183000,76.663000
3.954000,50.662000
2.830000,47.823000
2.949000,66.746000
3.089000,65.679000
3.667000,38.512000
2.509000,68.051000
3.060000,68.972000
3.425000,36.773000
4.630000,75.068000
5.019000,56.561000
3.146000,47.798000
3.409000,60.827000
3.102000,73.676000
2.943000,38.147000
3.431000,63.042000
5.136000,80.453000
3.475000,29.020000
2.798000,81.458000
5.101000,60.038000
2.994000,38.088000
2.782000,69.679000
4.635000,72.416000
3.732000,33.966000
3.250000,68.881000
4.389000,69.422000
2.910000,38.954000
2.775000,68.278000
2.817000,69.978000
2.913000,39.789000
3.322000,76.132000
4.218000,59.738000
3.650000,56.167000
2.640000,48.156000
3.815000,81.336000
3.029000,35.058000
4.728000,81.504000
4.274000,42.394000
2.921000,47.579000
4.061000,79.824000
4.146000,50.683000
2.965000,47.237000
3.901000,80.818000
4.246000,59.108000
2.910000,38.924000
4.840000,80.251000
4.182000,63.712000
3.184000,33.062000
2.998000,81.576000
4.163000,56.407000
3.016000,39.833000
4.627000,63.137000
2.420000,74.123000
4.594000,69.838000
5.038000,52.882000
3.765000,52.138000
3.299000,29.380000
2.986000,71.220000
3.183000,73.572000
3.851000,30.518000
4.091000,82.655000
3.273000,63.102000
2.812000,29.162000
3.057000,71.255000
4.526000,58.178000
3.008000,49.315000
3.401000,68.622000
4.706000,66.648000
2.971000,40.977000
4.040000,80.068000
5.350000,57.853000
2.978000,40.921000
3.004000,76.520000
4.506000,62.705000
3.660000,43.535000
4.967000,73.217000
4.109000,60.133000
3.542000,44.790000
2.796000,68.265000
3.751000,61.370000
2.792000,39.293000
3.532000,76.405000
3.796000,62.191000
2.701000,36.570000
3.521000,71.891000
4.413000,68.002000
3.607000,38.886000
4.477000,59.681000
3.445000,73.671000
3.213000,36.867000
2.887000,66.395000
3.318000,76.158000
3.007000,28.741000
2.953000,71.114000
5.329000,58.225000
3.003000,49.354000
3.518000,87.479000
4.530000,40.712000
3.092000,49.231000
3.398000,76.801000
3.506000,48.432000
3.472000,50.627000
2.849000,77.963000
5.704000,60.881000
3.031000,44.644000
4.600000,74.618000
4.288000,58.126000
3.105000,42.442000
2.532000,63.376000
5.684000,148.316000
4.727000,23.219000
3.318000,22.715000
3.690000,57.517000
4.407000,33.924000
2.754000,70.570000
3.615000,73.534000
2.730000,30.232000
4.308000,75.879000
3.295000,63.102000
2.611000,38.733000
2.469000,71.594000
5.089000,66.292000
2.688000,47.802000
5.450000,71.105000
2.969000,52.372000
2.823000,46.973000
4.635000,93.449000
4.197000,45.067000
2.795000,40.223000
2.872000,67.883000
3.733000,65.493000
2.812000,41.336000
4.357000,80.659000
3.241000,57.236000
3.419000,38.708000
3.471000,76.875000
4.108000,59.917000
3.020000,40.953000
3.284000,63.949000
3.150000,74.687000
2.712000,38.709000
2.387000,58.863000
2.852000,76.416000
3.645000,32.330000
2.666000,84.895000
3.212000,60.649000
3.874000,28.689000
3.295000,70.182000
3.052000,76.048000
4.451000,36.900000
3.420000,78.700000
5.066000,52.389000
2.753000,39.572000
4.198000,76.031000
4.364000,53.680000
4.108000,57.690000
2.470000,58.830000
4.291000,67.972000
3.643000,37.803000
4.013000,78.094000
2.939000,70.218000
2.859000,31.316000
3.083000,64.168000
3.634000,71.748000
2.964000,37.312000
2.620000,59.356000
4.986000,67.960000
4.317000,36.582000
2.931000,74.609000
2.743000,70.688000
2.583000,32.110000
2.902000,72.940000
3.339000,75.939000
2.868000,32.325000
5.766000,91.600000
4.992000,46.429000
3.516000,41.533000
3.692000,78.517000
3.130000,62.198000
3.898000,40.796000
3.968000,76.701000
8.456000,61.531000
3.009000,43.875000
3.713000,72.762000
3.503000,64.833000
3.075000,34.933000
2.757000,78.131000
3.862000,57.519000
3.273000,43.230000
2.781000,62.531000
3.678000,75.995000
2.899000,37.743000
4.328000,60.541000
3.922000,73.528000
3.473000,32.110000
2.946000,70.879000
3.231000,76.101000
3.637000,31.287000
2.882000,70.456000
3.485000,68.792000
3.037000,42.771000
3.728000,73.300000
3.945000,54.752000
2.978000,49.116000
2.529000,79.110000
4.296000,54.169000
2.864000,52.875000
2.956000,67.490000
2.640000,63.753000
2.677000,43.179000
2.906000,73.162000
2.632000,60.166000
3.137000,41.988000
3.051000,74.917000
4.050000,66.023000
3.144000,38.351000
3.290000,79.018000
2.900000,58.157000
2.927000,40.499000
4.044000,61.689000
3.635000,78.711000
2.888000,37.658000
3.220000,64.864000
3.116000,70.893000
2.703000,40.557000
2.808000,72.240000
3.340000,72.855000
2.820000,28.484000
2.748000,71.560000
4.763000,69.824000
4.572000,65.471000
2.780000,78.617000
3.913000,65.001000
3.710000,49.766000
3.846000,40.873000
3.136000,58.586000
2.838000,44.960000
4.335000,59.859000
4.223000,73.212000
3.239000,40.192000
4.090000,63.714000
3.610000,71.139000
3.255000,41.883000
2.648000,72.157000
3.078000,99.177000
2.999000,27.934000
3.067000,84.116000
3.732000,63.432000
4.410000,76.252000
3.171000,37.807000
3.784000,64.592000
4.197000,84.367000
2.887000,36.791000
3.616000,107.395000
3.480000,68.070000
3.849000,60.995000
5.541000,83.919000
5.375000,37.624000
3.461000,57.670000
3.879000,58.816000
4.528000,57.954000
3.567000,59.843000
4.223000,61.650000
4.567000,58.006000
4.020000,59.106000
9.974000,68.716000
2.679000,38.539000
3.886000,61.604000
3.177000,70.430000
2.935000,48.589000
2.671000,57.211000
3.008000,76.567000
2.671000,43.494000
3.727000,58.651000
4.141000,87.035000
2.740000,32.980000
3.805000,60.664000
3.819000,72.688000
3.622000,42.508000
3.587000,61.593000
3.975000,111.925000
5.511000,43.850000
3.280000,51.749000
3.458000,47.437000
3.236000,44.555000
4.738000,60.798000
3.622000,73.767000
4.407000,42.456000
3.931000,62.751000
3.343000,56.735000
3.885000,59.640000
3.586000,56.410000
2.886000,62.465000
2.727000,44.227000
4.131000,60.867000
4.618000,80.307000
3.221000,37.192000
3.775000,60.735000
3.218000,71.413000
3.623000,44.071000
4.559000,62.906000
4.394000,75.840000
3.523000,39.974000
3.581000,59.864000
4.014000,75.753000
3.514000,39.385000
3.594000,64.755000
3.362000,69.534000
2.614000,42.206000
3.637000,60.824000
3.453000,77.612000
3.388000,42.682000
3.693000,59.410000
3.896000,75.077000
4.816000,43.435000
3.885000,61.006000
3.837000,75.574000
4.223000,41.206000
3.437000,57.267000
3.186000,64.485000
4.588000,55.935000
3.701000,63.472000
2.659000,57.620000
2.720000,44.846000
3.216000,64.906000
3.308000,72.257000
2.813000,44.988000
3.061000,58.379000
2.772000,68.581000
2.660000,50.293000
2.999000,58.958000
3.781000,76.942000
3.241000,46.739000
3.946000,55.532000
2.595000,81.020000
3.354000,36.419000
3.358000,62.548000
3.206000,71.514000
3.168000,40.335000
4.822000,63.773000
3.697000,73.353000
3.990000,39.601000
3.055000,59.619000
3.424000,72.882000
2.696000,42.472000
3.578000,58.223000
3.358000,75.183000
3.839000,40.663000
3.564000,59.376000
3.547000,67.338000
3.478000,49.419000
3.407000,62.228000
3.022000,54.449000
2.614000,59.789000
2.650000,52.190000
3.635000,63.419000
3.159000,41.890000
3.632000,64.942000
3.026000,76.556000
3.679000,38.764000
4.354000,58.163000
3.060000,75.198000
3.464000,38.207000
4.217000,61.015000
4.240000,81.986000
4.937000,51.959000
2.923000,46.529000
3.890000,70.779000
4.921000,60.088000
3.835000,39.528000
4.560000,76.135000
4.337000,57.479000
3.461000,44.839000
3.546000,70.237000
4.939000,63.212000
3.471000,45.172000
3.862000,68.718000
4.941000,54.676000
5.876000,81.362000
3.666000,50.338000
2.934000,50.786000
4.231000,47.568000
3.037000,67.946000
3.683000,51.127000
2.813000,46.862000
4.764000,66.019000
3.238000,69.152000
3.931000,31.232000
4.017000,77.617000
2.554000,58.209000
3.119000,37.659000
3.124000,74.497000
2.720000,70.026000
3.702000,26.387000
4.179000,93.484000
3.477000,39.866000
3.734000,41.696000
3.683000,68.481000
3.605000,74.653000
4.367000,38.368000
4.257000,79.925000
3.787000,43.371000
3.610000,46.236000
3.227000,69.546000
5.673000,65.990000
2.767000,48.084000
5.428000,77.345000
4.086000,45.217000
2.919000,56.671000
3.149000,60.885000
4.178000,71.196000
2.672000,41.054000
3.172000,72.591000
3.676000,54.775000
3.999000,40.398000
3.882000,72.007000
2.636000,64.125000
3.388000,53.389000
4.134000,94.180000
3.356000,24.895000
2.710000,42.829000
3.821000,71.321000
2.833000,67.130000
3.016000,33.101000
3.835000,74.879000
4.425000,50.692000
4.300000,57.789000
3.351000,57.910000
4.419000,72.847000
3.690000,37.966000
2.822000,78.932000
4.303000,45.625000
2.799000,54.122000
3.052000,60.578000
3.824000,69.674000
3.356000,41.641000
4.101000,64.883000
3.735000,59.922000
3.437000,55.783000
4.275000,58.452000
